,time,fixations
77,3.680577777,"  fixation id           x           y fixation status
0         4.0  805.800167  453.042333          during
1         3.0  831.010254  458.310608         tracked"
78,3.713922222,"  fixation id           x           y fixation status
0         4.0  810.098143  462.073429          during
1         3.0  830.108826  484.704224         tracked"
79,3.747266666,"  fixation id           x           y fixation status
0         4.0  807.930571  476.372000          during
1         3.0  830.123779  484.718109         tracked"
80,3.780611111,"  fixation id           x           y fixation status
0         4.0  804.419667  487.318667          during
1         3.0  824.696350  491.725555         tracked"
81,3.813955555,"  fixation id           x           y fixation status
0         4.0  799.156857  499.839429          during
1         3.0  819.937866  496.016632         tracked"
82,3.847288888,"  fixation id           x           y fixation status
0         4.0  779.769571  512.641143          during
1         3.0  816.754517  500.061157         tracked"
83,3.880633333,"  fixation id           x           y fixation status
0         4.0  776.541333  504.842500          during
1         3.0  815.480103  502.972565         tracked"
84,3.913977777,"  fixation id           x           y fixation status
0         4.0  784.223857  503.179714          during
1         3.0  815.134155  504.268738         tracked"
85,3.947322222,"  fixation id           x           y fixation status
0         4.0  784.411000  502.491429          during
1         3.0  813.010986  507.719940         tracked"
86,3.980666666,"  fixation id           x           y fixation status
0         4.0  770.518167  523.275667          during
1         3.0  805.210999  515.842773         tracked"
87,4.014,"  fixation id           x           y fixation status
0         4.0  768.985714  542.382143          during
1         3.0  793.529358  527.767700         tracked"
88,4.047344444,"  fixation id           x           y fixation status
0         4.0  760.974571  538.543000          during
1         3.0  783.090149  537.278625         tracked"
89,4.080688888,"  fixation id           x           y fixation status
0         4.0  753.729667  543.573500          during
1         3.0  776.772339  541.874573         tracked"
90,4.114033333,"  fixation id           x           y fixation status
0         4.0  759.813143  551.610714          during
1         3.0  774.190735  539.151367         tracked"
91,4.147377777,"  fixation id           x           y fixation status
0         4.0  755.552714  539.232714          during
1         3.0  772.892395  530.334229         tracked"
92,4.180722222,"  fixation id           x           y fixation status
0         4.0  754.776667  526.815500          during
1         3.0  773.140259  525.147156         tracked"
93,4.214055555,"  fixation id           x           y fixation status
0         4.0  775.233429  526.658429          during
1         3.0  775.780273  522.118896         tracked"
94,4.2474,"  fixation id           x           y fixation status
0         4.0  782.031857  525.744286          during
1         3.0  779.090515  518.312683         tracked"
95,4.280744444,"  fixation id           x           y fixation status
0         4.0  776.256333  529.921833          during
1         3.0  780.711609  513.814331         tracked"
96,4.314088888,"  fixation id           x           y fixation status
0         4.0  766.100714  528.928714          during
1         3.0  780.523865  510.692261         tracked"
97,4.347433333,"  fixation id           x           y fixation status
0         4.0  767.691667  523.434333          during
1         3.0  779.795288  506.266022         tracked"
98,4.380777777,"  fixation id           x           y fixation status
0         4.0  760.922667  511.721833          during
1         3.0  778.669983  499.047638         tracked"
99,4.414111111,"  fixation id           x           y fixation status
0         4.0  751.860571  496.415429          during
1         3.0  777.576355  490.074951         tracked"
100,4.447455555,"  fixation id           x           y fixation status
0         4.0  755.276286  486.236429          during
1         3.0  777.223572  484.465118         tracked"
101,4.4808,"  fixation id           x           y fixation status
0         4.0  764.567167  484.061667          during
1         3.0  778.092590  483.593109         tracked"
102,4.514144444,"  fixation id           x           y fixation status
0         4.0  781.706857  494.532429          during
1         3.0  780.059143  486.875916         tracked"
103,4.547488888,"  fixation id           x           y fixation status
0         4.0  792.023857  502.258429          during
1         3.0  782.106812  492.729584         tracked"
104,4.580822222,"  fixation id           x           y fixation status
0         4.0  780.794000  509.786000          during
1         3.0  784.803223  499.908112         tracked"
105,4.614166666,"  fixation id           x           y fixation status
0         4.0  772.045714  501.588143          during
1         3.0  790.276672  504.597229         tracked"
106,4.647511111,"  fixation id           x          y fixation status
0         4.0  791.041429  505.54200          during
1         3.0  799.229614  507.09964         tracked"
107,4.680855555,"  fixation id           x           y fixation status
0         4.0  792.812000  511.209333          during
1         3.0  810.244568  513.156372         tracked"
108,4.7142,"  fixation id           x           y fixation status
0         4.0  794.517714  522.356857          during
1         3.0  819.136230  520.074097         tracked"
109,4.747544444,"  fixation id           x           y fixation status
0         4.0  795.620143  520.658571          during
1         3.0  825.977844  522.860352         tracked"
110,4.780877777,"  fixation id           x           y fixation status
0         4.0  796.793857  519.197143          during
1         3.0  831.547607  520.054688         tracked"
111,4.814222222,"  fixation id           x           y fixation status
0         4.0  799.433143  508.903571             end
1         3.0  835.194885  516.056030         tracked"
112,4.847566666,"  fixation id           x           y fixation status
0         5.0  796.467286  480.608000           start
1         4.0  801.089844  508.298645         tracked
2         3.0  836.870544  515.472778         tracked"
113,4.880911111,"  fixation id           x           y fixation status
0         5.0  793.922429  477.710857          during
1         4.0  801.553101  510.397430         tracked
2         3.0  837.318909  517.627747         tracked"
114,4.914255555,"  fixation id           x           y fixation status
0         5.0  788.070857  471.310143          during
1         4.0  801.785889  514.303284         tracked
2         3.0  837.598083  521.629395         tracked"
