timestamp,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,orientation_w,orientation_x,orientation_y,orientation_z
1733928932586304739,-1.7022376859504134e-05,6.611048181818182e-05,-0.0008103477533057849,-0.0037449229090909097,0.014544306,-0.17827650572727272,-0.016965795453748433,-0.0035457406695728554,-0.005539676076216204,0.9998344370428017
1733928932596512739,8.969349736861028,0.808256565220282,1.281549311638399,-0.007452541550203936,0.002900893928744562,-0.17707718097470904,0.2796875453722242,0.3578398069152454,0.5394067529109683,-0.031428179468283156
1733928932606720739,9.743865841046333,0.7977007068343609,1.4039927603108235,0.037317375388753474,0.08111357359170696,-0.2636289624606363,0.34359252120046374,0.46119632174608455,0.4458511213542017,0.3971012136788207
1733928932615528739,9.841932908893837,0.8027564794226286,1.5163770800087437,0.1259318155205876,0.09570179411591544,-0.3645929472055496,0.28533935445689557,0.4505505167193855,0.4185661995486556,0.4060580527986744
1733928932624336739,9.859332266281923,0.8056723578059322,1.487124320542036,0.21493752058021295,0.10948044216059406,-0.4597141542733949,0.2710381169251387,0.43922467513791685,0.4235292975429611,0.35318067076398885
1733928932633144739,9.863578347842896,0.809224148954004,1.4854496376008717,0.30072655258145253,0.13266179881160398,-0.5576843910513181,0.2793844314673911,0.4431826354941092,0.4211202729390643,0.35054229928079567
1733928932641952739,9.891466868086855,0.8261800584830185,1.348336599104844,0.38673306520077755,0.15499251220006297,-0.6578448886443423,0.2531188042726148,0.4083303638488106,0.43968431402810526,0.36060057482189645
1733928932652183739,9.90855228125891,0.891420229443046,1.2634176579868797,0.47285649235425137,0.17947047130484584,-0.7473963108877242,0.24416318544863064,0.38813471449878123,0.441098065769708,0.33058658401991653
1733928932662414739,9.907023541978145,0.7920073917188045,1.305021959360586,0.5586516543837987,0.2077465194158694,-0.8355208033298671,0.24269208573678086,0.4210523557477578,0.4571941718074981,0.3315173121229531
1733928932672645739,9.852279427768691,0.8550770082853809,1.4751474701781695,0.6434359733420865,0.2403867169789233,-0.9252618757465945,0.29178079366790594,0.44671439082302933,0.40940115069155647,0.31738047012976944
1733928932682779739,9.84686974244858,0.8998438250501877,1.457910791408712,0.729000993958059,0.2645720010574051,-1.0311328016334638,0.2911036740922667,0.4214779168513182,0.4040536198145379,0.38394074068367445
1733928932692914739,9.851387532953154,0.8382478306140957,1.4795609430164602,0.8186249996326551,0.2776237465125822,-1.126671573029543,0.27256101731729,0.43484261303310523,0.42077723957466384,0.3778590858769862
1733928932703049739,9.861124685920261,0.8069300745545543,1.4634748171024778,0.9067158371644258,0.29748245045642024,-1.221543097432769,0.26590937977698764,0.436120196021226,0.4270072685278995,0.34991193704825524
1733928932711898739,9.858507584616675,0.7924065063554819,1.5349619878924106,0.9928751381713693,0.32134735867900477,-1.318688074902616,0.283399812630574,0.456005164886611,0.41574065603616317,0.34757238753753866
1733928932720747739,9.852167157346523,0.8178965075283173,1.5437225412535858,1.0780425665573872,0.3434801798360286,-1.4215638695639181,0.2882381749196073,0.4473242279472056,0.40799485753775055,0.36518485038708537
1733928932729596739,9.865063867935369,0.8267999005866399,1.4396507915324799,1.1646265133148572,0.3618229606994094,-1.5226166130532839,0.262074531731722,0.4216133902129673,0.42596523322692137,0.3709955140604578
1733928932738445739,9.87604968963081,0.83018384743863,1.4253883853575136,1.252254259682206,0.38264534673840683,-1.6151127454393395,-0.497369176026978,0.5538483800043207,-0.5743578989781927,0.34057140012953324
1733928932748621739,9.883100700134616,0.85392931114215,1.3322969190410943,1.3404904638012516,0.36126377102994284,-1.6997340541030652,0.3116885289348407,0.2959893088214237,0.5130663074364763,-0.5069604687798159
1733928932758797739,9.895226257704106,0.8575753297327261,1.3166204910627874,1.327132201486507,0.440860318896815,-1.7490801011244133,0.5973018120770766,0.602207568194239,-0.3640310470588647,0.3847830387065527
1733928932768973739,9.90723203454783,0.8612092036819781,1.3001462710135665,1.314138704132549,0.3585919499386051,-1.8752483097041996,-0.39637632593646194,-0.37749975312479306,-0.5969077412158484,0.586584088690126
1733928932779187739,9.897320495029513,0.9364272301772298,1.278649213182647,1.301316503863612,0.4408756304369539,-1.9308476560824832,-0.38503059285134256,-0.36490548358593855,-0.5414979693768915,-0.40786728548814494
1733928932789401739,9.909558314874182,0.9404828356601085,1.260716743257836,1.3910038619637293,0.4513575757963487,-2.0142957273759707,0.47868155306030924,-0.6218156122570354,0.43795676641015546,-0.4386378755519627
1733928932799615739,9.922617307969507,0.9445373890906414,1.241980669851255,1.481974619007832,0.4406441789209031,-2.1076404220718334,0.4304660321655373,0.4466200461787411,0.6135068936935825,0.4887113881355836
1733928932809881739,9.885944664936009,0.914551265571792,1.3331614375503549,1.5722512668961441,0.45202550329193214,-2.191104232486005,-0.38743202124182735,-0.31228709097463736,-0.5886565783976003,0.42174285060378774
1733928932820149739,9.900272681073115,0.9190489318829972,1.3129604323260327,1.5799122832672647,0.5374610851732223,-2.25311691686486,-0.47482463181967177,-0.662574847462967,0.3671602606488257,-0.44802844053366214
1733928932830417739,9.914667489908773,0.9235446163917419,1.2919576067486962,1.5869456605773404,0.45158950675061477,-2.367504710149142,0.4551297609759677,0.3782237176992395,0.6576207224310443,-0.4661959946985774
1733928932839212739,9.929128158323948,0.9280469015008571,1.2701315292760036,1.594401390761427,0.5389132172547421,-2.434232333843223,0.46100154990555825,0.6483103350337643,-0.38814861160854086,0.46530843080632395
1733928932848005739,9.905947771468183,0.7887068760168803,1.350360773792003,1.6020977890760624,0.4504179596930249,-2.542278867300609,0.323310420320814,0.35718473813390017,0.5653147373615305,0.4516638882903666
