time_ns,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
1.7331469393022223e+18,0.5779846169272763,0.014602337616383687,-0.20125608468883488,0.0021323154461980022,0.000976069396442266,-0.0019475077335328274
1.7331469393355666e+18,0.5755049566957724,0.015652420271023506,-0.20519326054268547,0.007351587809940156,0.0035450761593103434,-0.007149489997866044
1.733146939368911e+18,0.5728942964040141,0.017498521771909296,-0.20898965847525028,0.01235583584618934,0.00627284122934227,-0.012560272463277197
1.7331469394022556e+18,0.5702785815778737,0.019781017445909294,-0.21277507950859392,0.017133463604627096,0.009179252160110557,-0.01816034488784971
1.7331469394356e+18,0.5680316593920248,0.021808133040239024,-0.2161345008735867,0.0217653783648909,0.012123985414950161,-0.02381101695668837
1.7331469394689334e+18,0.5655699020108867,0.023357446177532132,-0.2204064831133162,0.02609216768865589,0.014986293753313833,-0.029864134719388116
1.733146939502278e+18,0.5630638282487787,0.02489164862937998,-0.22458403853255088,0.030145310358624222,0.017874689737105185,-0.03601370443679606
1.7331469395356221e+18,0.561030828383977,0.026301794597664883,-0.2276511442376276,0.034141846493471996,0.020724046035525738,-0.04176082255943283
1.7331469395689667e+18,0.5599334056983146,0.027039258719713657,-0.2285926596558797,0.03836212182456352,0.023230437503615697,-0.046440943570159446
1.7331469396023112e+18,0.5597117919177914,0.027387315639529338,-0.22807252272071363,0.04286465234727259,0.025471689239202525,-0.05018345662868706
1.7331469396356557e+18,0.5596612127090557,0.027852688526607713,-0.22713868408382643,0.047294429984834206,0.027713925292918027,-0.05347906034690145
1.7331469396643953e+18,0.560934757226479,0.027867791429894245,-0.22359411521242006,0.051856402011100526,0.029402781558033428,-0.05477381497817449
1.733146939668989e+18,0.5609347751855349,0.027867658860003027,-0.22359315472166635,0.05257527963926886,0.029733928482387362,-0.05542987048484622
1.7331469396746813e+18,0.5609347876058526,0.02786766530408851,-0.22359316716443503,0.053541863506711335,0.029371502903760862,-0.055729169058300956
1.7331469396849672e+18,0.5609348382816517,0.02786769211036106,-0.22359321797887977,0.05459460842966109,0.029476479681377604,-0.05533532785519389
